"","Estimate","SE","LowerCI","UpperCI","Chi2","df","p","z_wald","p_wald","min_stab","max_stab"
"(Intercept)","-28.04","9.55","-35.13","-7.31","   NA",NA,"   NA","-2.94","0.00","-5.09","-2.61"
"trialtype_agentinanimate"," 35.14","8.60"," 15.50","43.23","11.53",1,"0.001"," 4.09","0.00"," 0.70"," 2.59"
"z.session"," 13.45","4.03"," -2.50","24.20"," 5.74",1,"0.017"," 3.33","0.00","-0.39"," 0.58"
"agent_firstinanimate"," -0.53","7.18","-15.00","13.15"," 0.01",1,"0.943","-0.07","0.94","-1.75","-0.47"
